,country,team,trophies
0,Spain,Real Madrid,15
1,Italy,AC Milan,7
2,Germany,Bayern Munchen,6
3,England,Liverpool,6
4,Spain,Barcelona,5
5,Italy,Inter,3
6,England,Man United,3
7,Portugal,Benfica,2
8,England,Chelsea,2
9,England,Chelsea,2
10,Portugal,FC Porto,2
11,Italy,Juventus,2
12,England,Nottm Forest,2
13,England,Aston Villa,1
14,Scotland,Celtic,1
15,Serbia,Crvena zvezda,1
16,Germany,Dortmund,1
17,Romania,FCSB,1
18,Netherlands,Feyenoord,1
19,Germany,Hamburg,1
20,England,Man City,1
21,France,Marseille,1
22,Netherlands,PSV,1
